TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
Shanghai SIPG FC ,Austria,Delantero,31,Muy bueno,Marko Arnautovic
Fenerbahçe SK ,Germany,Delantero|Mediocampista ofensivo,32,Muy bueno,Max Kruse
FC Bayern München ,Croatia,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),31,Muy bueno,Ivan Perišic
Juventus ,Germany,Mediocampista defensivo|Mediocampista central,33,Muy bueno,Sami Khedira
Wolverhampton Wanderers ,Portugal,Portero,32,Muy bueno,Rui Patrício
Arsenal ,Germany,Mediocampista ofensivo|Extremo (Extremo derecho),31,Muy bueno,Mesut Özil
Dalian YiFang FC ,Slovakia,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,33,Muy bueno,Marek Hamšík
Valencia CF ,Argentina,Defensa central,33,Muy bueno,Ezequiel Garay
LAFC ,Mexico,Mediocampista ofensivo|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),31,Muy bueno,Carlos Vela
Olympique de Marseille ,France,Portero,35,Muy bueno,Steve Mandanda
Leicester City ,Denmark,Portero,33,Muy bueno,Kasper Schmeichel
Villarreal CF ,Spain,Defensa central,34,Muy bueno,Raúl Albiol
Villarreal CF ,Spain,Mediocampista defensivo|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,35,Muy bueno,Santi Cazorla
Juventus ,Italy,Portero,42,Muy bueno,Gianluigi Buffon
Free Agents ,Uruguay,Mediocampista lateral|Mediocampista ofensivo,28,Muy bueno,José María Sildero
Free Agents ,Uruguay,Defensa central,28,Muy bueno,Egidio Maestre Schetino
SL Benfica ,Portugal,Defensa central,23,Muy bueno,Rúben Dias
Real Madrid ,Uruguay,Mediocampista defensivo|Mediocampista central,22,Sobresaliente,Federico Valverde
SV Werder Bremen ,Czech Republic,Portero,28,Muy bueno,Jirí Pavlenka
Borussia Dortmund ,Morocco,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista lateral,21,Muy bueno,Achraf Hakimi
Real Madrid ,Serbia,Delantero,22,Muy bueno,Luka Jovic
Manchester City ,Brazil,Delantero,23,Muy bueno,Gabriel Jesus
Flamengo ,Brazil,Delantero,28,Muy bueno,Oswaldinato
Palmeiras ,Brazil,Delantero|Mediocampista ofensivo|Delantero central,24,Muy bueno,Nuno Padrenda
