Year;Month;Day;Flag Tsunami;Flag Earthquake;Volcano Name;Location;Country;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Volcano : Deaths Description;Volcano : Missing;Volcano : Missing Description;Volcano : Injuries;Volcano : Injuries Description;Volcano : Damage (in M$);Volcano : Damage Description;Volcano : Houses destroyed;Volcano : Houses destroyed Description;Total Effects : Deaths;Total Effects : Deaths Description;Total Effects : Missing;Total Effects : Missing Description;Total Effects : Injuries;Total Effects : Injuries Description;Total Effects : Damages in million Dollars;Total Effects : Damage Description;Total Effects : Houses Destroyed;Total Effects : Houses Destroyed Description;Coordinates;Earthquakes : Houses damaged Description;Total Effects : Houses Damaged Description
1951;12;04;;;Camiguin;Mindanao-Philippines;Philippines;1332;Stratovolcano;Historical;3;500;Many (~101 to 1000 deaths);1500.0;Very Many (~1001 or more deaths);;;;;;;500;Many (~101 to 1000 deaths);1500.0;Very Many (~1001 or more deaths);;;;;;;9.203,124.673;;
1953;03;11;Tsunami;;Myojun Knoll;Izu Is-Japan;Japan;360;Submarine volcano;Holocene;2;;;;;;;;;;;;;;;;;;;;;32.1,139.85;;
1957;07;;;;Unzen;Kyushu-Japan;Japan;1500;Complex volcano;Historical;;13;Few (~1 to 50 deaths);;;;;;;;;13;Few (~1 to 50 deaths);;;;;;;;;32.75,130.3;;
1981;03;29;;;Semeru;Java;Indonesia;3676;Stratovolcano;Historical;3;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;-8.108,112.92;;
1993;01;21;;;Wurlali;Banda Sea;Indonesia;868;Stratovolcano;Historical;;1;Few (~1 to 50 deaths);;;12.0;Few (~1 to 50 deaths);;;;;1;Few (~1 to 50 deaths);;;12.0;Few (~1 to 50 deaths);;;;;-7.125,128.675;;
1993;06;26;;;Pinatubo;Luzon-Philippines;Philippines;1486;Stratovolcano;Historical;1;4;Few (~1 to 50 deaths);;;;;;;;;4;Few (~1 to 50 deaths);;;;;;;;;15.13,120.35;;
1996;08;10;;;Kanlaon;Philippines-C;Philippines;2435;Stratovolcano;Historical;2;3;Few (~1 to 50 deaths);;;18.0;Few (~1 to 50 deaths);;;;;3;Few (~1 to 50 deaths);;;18.0;Few (~1 to 50 deaths);;;;;10.412,123.132;;
2013;05;07;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;;5;Few (~1 to 50 deaths);;;8.0;Few (~1 to 50 deaths);;;;;5;Few (~1 to 50 deaths);;;8.0;Few (~1 to 50 deaths);;;;;13.257,123.685;;
2017;03;15;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;;;;;;10.0;Few (~1 to 50 deaths);;;;;;;;;10.0;Few (~1 to 50 deaths);;;;;37.734,15.004;;
2017;07;01;;;Dieng Volc Complex;Java;Indonesia;2565;Complex volcano;Historical;;8;Few (~1 to 50 deaths);;;11.0;Few (~1 to 50 deaths);;;;;8;Few (~1 to 50 deaths);;;11.0;Few (~1 to 50 deaths);;;;;-7.2,109.92;;
-141;;;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;;40;Few (~1 to 50 deaths);;;;;;;;;40;Few (~1 to 50 deaths);;;;;;;;;37.734,15.004;;
1262;;;;;Katla;Iceland-S;Iceland;1512;Subglacial volcano;Historical;3;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;63.63,-19.05;;
1300;07;11;;;Hekla;Iceland-S;Iceland;1491;Stratovolcano;Historical;4;;;;;;;;;;;600;Many (~101 to 1000 deaths);;;;;;;;;63.98,-19.7;;
1331;12;;;;Aso;Kyushu-Japan;Japan;1592;Caldera;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;32.88,131.1;;
1714;06;30;Tsunami;;Vesuvius;Italy;Italy;1281;Complex volcano;Historical;;;;;;;;;;;;;;;;;;;;;;40.821,14.426;;
1907;10;06;Tsunami;;Savai'i;Samoa-SW Pacific;Samoa;1858;Shield volcano;Historical;;;;;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);;;;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-13.612,-172.525;;
1911;08;15;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;2;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;36.4,138.53;;
1913;01;20;;;Colima;Mexico;Mexico;3850;Stratovolcano;Historical;4;13;Few (~1 to 50 deaths);;;;;;;;;13;Few (~1 to 50 deaths);;;;;;;;;19.514,-103.62;;
1944;06;10;;;Cleveland;Aleutian Is;United States;1730;Stratovolcano;Historical;3;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;52.82,-169.95;;
1952;09;16;Tsunami;;Myojun Knoll;Izu Is-Japan;Japan;360;Submarine volcano;Holocene;2;;;;;;;;;;;;;;;;;;;;;32.1,139.85;;
1960;05;25;Tsunami;Earthquake;Puyehue;Chile-C;Chile;2236;Stratovolcano;Holocene;3;;;;;;;;;;;;;;;;;;;;;-40.59,-72.117;;
1971;10;26;;;La Palma;Canary Is;Spain;2426;Stratovolcano;Historical;2;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;28.58,-17.83;;
1972;10;09;Tsunami;;Ritter Island;New Guinea-NE of;Papua New Guinea;140;Stratovolcano;Historical;1;;;;;;;;;;;;;;;;;;;;;-5.52,148.121;;
1979;04;13;;;Soufriere St. Vincent;W Indies;St. Vincent & the Grenadines;1220;Stratovolcano;Historical;3;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;13.33,-61.18;;
1983;10;03;;Earthquake;Miyake-jima;Izu Is-Japan;Japan;815;Stratovolcano;Historical;3;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;MODERATE (~$1 to $5 million);;;34.08,139.53;;
1984;10;16;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;3;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;37.734,15.004;;
1990;10;19;;;Aso;Kyushu-Japan;Japan;1592;Caldera;Historical;2;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;32.88,131.1;;
1991;12;14;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;2;;;;;;;2.5;MODERATE (~$1 to $5 million);;;;;;;;;2.5;MODERATE (~$1 to $5 million);;;37.734,15.004;;
1994;02;03;;;Semeru;Java;Indonesia;3676;Stratovolcano;Historical;3;6;Few (~1 to 50 deaths);;;;;;;;;6;Few (~1 to 50 deaths);;;;;;;;;-8.108,112.92;;
2007;07;07;;;Salak;Java;Indonesia;2211;Stratovolcano;Historical;;6;Few (~1 to 50 deaths);;;;;;;;;6;Few (~1 to 50 deaths);;;;;;;;;-6.72,106.73;;
2017;06;06;;;Fuego;Guatemala;Guatemala;3763;Stratovolcano;Historical;2;;;;;;;;MODERATE (~$1 to $5 million);;;;;;;;;;MODERATE (~$1 to $5 million);;;14.473,-90.88;;
2017;09;23;;;Aoba;Vanuatu-SW Pacific;Vanuatu;1496;Shield volcano;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-15.4,167.83;;
2018;03;30;;;Aoba;Vanuatu-SW Pacific;Vanuatu;1496;Shield volcano;Historical;3;4;Few (~1 to 50 deaths);;;;;;MODERATE (~$1 to $5 million);;Few (~1 to 50 houses);4;Few (~1 to 50 deaths);;;;;;MODERATE (~$1 to $5 million);;Few (~1 to 50 houses);-15.4,167.83;;
2019;08;28;Tsunami;;Stromboli;Italy;Italy;926;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;38.789,15.213;;
-1550;;;;;Redoubt;Alaska-SW;United States;3108;Stratovolcano;Historical;;;;;;;;;;;;;;;;;;;;;;60.48,-152.75;;
-250;;;;;Raoul Island;Kermadec Is;New Zealand;516;Stratovolcano;Historical;6;;;;;;;;;;;;;;;;;;;;;-29.27,-177.92;;
1640;07;31;Tsunami;Earthquake;Komaga-take;Hokkaido-Japan;Japan;1140;Stratovolcano;Historical;5;;;;;;;;;;;700;Many (~101 to 1000 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);20;Few (~1 to 50 houses);42.07,140.68;;
1785;04;18;;;Aoga-shima;Izu Is-Japan;Japan;423;Stratovolcano;Historical;3;135;Many (~101 to 1000 deaths);;;;;;;;;135;Many (~101 to 1000 deaths);;;;;;;;;32.45,139.77;;
1812;08;06;;;Awu;Sangihe Is-Indonesia;Indonesia;1320;Stratovolcano;Historical;3;953;Many (~101 to 1000 deaths);;;;;;;;;953;Many (~101 to 1000 deaths);;;;;;;;;3.67,125.5;;
1853;06;24;;;Niuafo'ou;Tonga-SW Pacific;Tonga;260;Shield volcano;Historical;0;25;Few (~1 to 50 deaths);;;;;;;;;25;Few (~1 to 50 deaths);;;;;;;;;-15.6,-175.63;;
1892;05;21;;;Sorikmarapi;Sumatra;Indonesia;2145;Stratovolcano;Historical;2;180;Many (~101 to 1000 deaths);;;;;;;;;180;Many (~101 to 1000 deaths);;;;;;;;;0.686,99.539;;
1917;04;;;;Calbuco;Chile-S;Chile;2003;Stratovolcano;Historical;3;;;;;;;;;;;;;;;;;;;;;-41.326,-72.614;;
1938;07;16;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;1;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;36.4,138.53;;
1941;07;13;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;2;1;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;;;;1;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;;;;36.4,138.53;;
1943;02;20;;;Michoacan-Guanajuato;Mexico;Mexico;3860;Cinder cone;Historical;4;3;Few (~1 to 50 deaths);;;;;;;;;103;Few (~1 to 50 deaths);;;;;;;;;19.48,-102.25;;
1944;12;04;;;Dieng Volc Complex;Java;Indonesia;2565;Complex volcano;Historical;2;117;Many (~101 to 1000 deaths);;;250.0;Many (~101 to 1000 deaths);;;;;117;Many (~101 to 1000 deaths);;;250.0;Many (~101 to 1000 deaths);;;;;-7.2,109.92;;
1953;10;05;;;Oshima;Izu Is-Japan;Japan;758;Stratovolcano;Historical;1;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;34.73,139.38;;
1973;04;05;;;Hudson, Cerro;Chile-S;Chile;1905;Stratovolcano;Historical;;2;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);2;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);-45.9,-72.97;;
1990;04;18;;;Aso;Kyushu-Japan;Japan;1592;Caldera;Historical;2;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;32.88,131.1;;
1991;06;15;;Earthquake;Pinatubo;Luzon-Philippines;Philippines;1486;Stratovolcano;Historical;6;350;Many (~101 to 1000 deaths);;;4.0;Few (~1 to 50 deaths);;SEVERE (~>$5 to $24 million);;;800;Many (~101 to 1000 deaths);;;4.0;Few (~1 to 50 deaths);;SEVERE (~>$5 to $24 million);;;15.13,120.35;;
1992;07;12;;;Pinatubo;Luzon-Philippines;Philippines;1486;Stratovolcano;Historical;1;6;Few (~1 to 50 deaths);;;;;;;;;6;Few (~1 to 50 deaths);;;;;;;;;15.13,120.35;;
1995;04;02;;;Fogo;Cape Verde Is;Cape Verde;2829;Stratovolcano;Historical;2;;;;;20.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);10;Few (~1 to 50 houses);;;;;20.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);10;Few (~1 to 50 houses);14.95,-24.35;;
1996;12;03;;;Manam;New Guinea-NE of;Papua New Guinea;1807;Stratovolcano;Historical;3;13;Few (~1 to 50 deaths);;;29.0;Few (~1 to 50 deaths);;;;;13;Few (~1 to 50 deaths);;;29.0;Few (~1 to 50 deaths);;;;;-4.1,145.061;;
2000;11;03;;;Kilauea;Hawaiian Is;United States;1222;Shield volcano;Historical;;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;19.425,-155.292;;
2005;10;01;;;Santa Ana;El Salvador;El Salvador;2365;Stratovolcano;Historical;3;2;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;;;2;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;;;13.853,-89.63;;
2006;05;20;Tsunami;;Soufriere Hills;W Indies;Montserrat;915;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;16.72,-62.18;;
2015;04;22;;;Calbuco;Chile-S;Chile;2003;Stratovolcano;Historical;;;;;;;;;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);;;;;;;;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);-41.326,-72.614;;
2017;09;12;;;Campi Flegrei;Italy;Italy;458;Caldera;Historical;;3;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;40.827,14.139;;
2018;01;05;;;Kadovar;New Guinea-NE of;Papua New Guinea;365;Stratovolcano;Holocene;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-3.62,144.62;;
2018;03;21;;;Ijen;Java;Indonesia;2799;Stratovolcano;Historical;;;;;;30.0;Few (~1 to 50 deaths);;;;;;;;;30.0;Few (~1 to 50 deaths);;;;;-8.058,114.242;;
-4350;;;;;Kikai;Ryukyu Is;Japan;717;Caldera;Historical;7;;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);30.78,130.28;;
934;;;;;Katla;Iceland-S;Iceland;1512;Subglacial volcano;Historical;4;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;63.63,-19.05;;
1250;;;;;Fentale;Africa-NE;Ethiopia;2007;Stratovolcano;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;;;;8.975,39.93;;
1389;12;01;;;Hekla;Iceland-S;Iceland;1491;Stratovolcano;Historical;3;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;63.98,-19.7;;
1471;11;03;;;Sakura-jima;Kyushu-Japan;Japan;1117;Stratovolcano;Historical;5;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;31.58,130.67;;
1500;;;;;Katla;Iceland-S;Iceland;1512;Subglacial volcano;Historical;4;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;63.63,-19.05;;
1590;01;15;;;Colima;Mexico;Mexico;3850;Stratovolcano;Historical;3;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;19.514,-103.62;;
1596;05;01;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;2;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;36.4,138.53;;
1606;01;23;Tsunami;;Hachijo-jima;Izu Is-Japan;Japan;854;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;33.13,139.77;;
1712;01;15;;;Bardarbunga;Iceland-NE;Iceland;2000;Stratovolcano;Historical;2;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;64.63,-17.53;;
1716;10;05;;;Bardarbunga;Iceland-NE;Iceland;2000;Stratovolcano;Historical;2;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;64.63,-17.53;;
1737;05;20;;;Vesuvius;Italy;Italy;1281;Complex volcano;Historical;2;2;Few (~1 to 50 deaths);;;;;;MODERATE (~$1 to $5 million);;;2;Few (~1 to 50 deaths);;;;;;MODERATE (~$1 to $5 million);;;40.821,14.426;;
1779;11;08;;;Sakura-jima;Kyushu-Japan;Japan;1117;Stratovolcano;Historical;4;153;Many (~101 to 1000 deaths);;;;;;;;;153;Many (~101 to 1000 deaths);;;;;;;;;31.58,130.67;;
1783;08;05;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;4;1491;Very Many (~1001 or more deaths);;;;;;;;;1491;Very Many (~1001 or more deaths);;;;;;;;;36.4,138.53;;
1822;12;27;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;3;100;Some (~51 to 100 deaths);;;;Some (~51 to 100 deaths);;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);100;Some (~51 to 100 deaths);;;;Some (~51 to 100 deaths);;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-7.542,110.442;;
1840;;;;;Tinakula;Santa Cruz Is-SW Pac;Solomon Is.;851;Stratovolcano;Historical;3;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;-10.38,165.8;;
1845;02;08;Tsunami;Earthquake;Soputan;Sulawesi-Indonesia;Indonesia;1784;Stratovolcano;Historical;2;;;;;;;;;;;118;Many (~101 to 1000 deaths);;;;;;MODERATE (~$1 to $5 million);;Many (~101 to 1000 houses);1.108,124.725;;
1847;04;09;;;Fogo;Cape Verde Is;Cape Verde;2829;Stratovolcano;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;14.95,-24.35;;
1856;03;02;Tsunami;Earthquake;Awu;Sangihe Is-Indonesia;Indonesia;1320;Stratovolcano;Historical;3;2806;Very Many (~1001 or more deaths);;;;Some (~51 to 100 deaths);;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);2806;Very Many (~1001 or more deaths);;;;Some (~51 to 100 deaths);;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);3.67,125.5;;
1861;12;29;;;Makian;Halmahera-Indonesia;Indonesia;1357;Stratovolcano;Historical;4;326;Many (~101 to 1000 deaths);;;47.0;Few (~1 to 50 deaths);;;;Many (~101 to 1000 houses);326;Many (~101 to 1000 deaths);;;47.0;Few (~1 to 50 deaths);;;;Many (~101 to 1000 houses);0.32,127.4;;
1903;08;30;;;Okataina;New Zealand;New Zealand;1111;Lava dome;Historical;1;4;Few (~1 to 50 deaths);;;;;;;;;4;Few (~1 to 50 deaths);;;;;;;;;-38.12,176.5;;
1951;11;05;;;Hakone;Honshu-Japan;Japan;1438;Complex volcano;Radiocarbon;;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;35.22,139.02;;
1954;08;03;;;Bam;New Guinea-NE of;Papua New Guinea;685;Stratovolcano;Historical;2;;;;;;Some (~51 to 100 deaths);;;;;25;Few (~1 to 50 deaths);;;;Some (~51 to 100 deaths);;;;;-3.6,144.85;;
1958;07;21;;;Daisetsu;Hokkaido-Japan;Japan;2290;Stratovolcano;Tephrochronology;;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;43.68,142.88;;
1962;12;31;;;Gamalama;Halmahera-Indonesia;Indonesia;1715;Stratovolcano;Historical;2;5;Few (~1 to 50 deaths);;;5.0;Few (~1 to 50 deaths);;;;;5;Few (~1 to 50 deaths);;;5.0;Few (~1 to 50 deaths);;;;;0.8,127.325;;
1969;01;07;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;2;3;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;-7.542,110.442;;
1973;01;;;;Paluweh;Lesser Sunda Is;Indonesia;875;Stratovolcano;Historical;3;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);;;;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);-8.32,121.708;;
1974;06;17;;;Sakura-jima;Kyushu-Japan;Japan;1117;Stratovolcano;Historical;3;3;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;31.58,130.67;;
1978;;;;;Tangkubanparahu;Java;Indonesia;2084;Stratovolcano;Historical;;3;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;-6.77,107.6;;
1983;07;23;;;Colo [Una Una];Sulawesi-Indonesia;Indonesia;507;Stratovolcano;Historical;4;;;;;;;;MODERATE (~$1 to $5 million);;Many (~101 to 1000 houses);;;;;;;;MODERATE (~$1 to $5 million);;Many (~101 to 1000 houses);-0.17,121.608;;
1987;04;17;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;2;2;Few (~1 to 50 deaths);;;7.0;Few (~1 to 50 deaths);;;;;2;Few (~1 to 50 deaths);;;7.0;Few (~1 to 50 deaths);;;;;37.734,15.004;;
1994;11;03;;;Rinjani;Lesser Sunda Is;Indonesia;3726;Stratovolcano;Historical;3;31;Few (~1 to 50 deaths);;;;;;;;;31;Few (~1 to 50 deaths);;;;;;;;;-8.42,116.47;;
1996;09;30;;;Grimsvotn;Iceland-NE;Iceland;1725;Caldera;Historical;3;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;64.42,-17.33;;
1997;06;25;;;Soufriere Hills;W Indies;Montserrat;915;Stratovolcano;Historical;3;22;Few (~1 to 50 deaths);1.0;;;;;;;;22;Few (~1 to 50 deaths);;;;;;;;;16.72,-62.18;;
1999;10;05;;;Guagua Pichincha;Ecuador;Ecuador;4784;Stratovolcano;Historical;3;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;-0.171,-78.598;;
2001;08;05;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;2;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;-7.542,110.442;;
2002;01;17;;;Nyiragongo;Africa-C;Congo, DRC;3470;Stratovolcano;Historical;1;100;Some (~51 to 100 deaths);;;400.0;Many (~101 to 1000 deaths);;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);100;Some (~51 to 100 deaths);;;;Many (~101 to 1000 deaths);;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-1.52,29.25;;
2011;03;18;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;1784;Stratovolcano;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;2.78,125.48;;
2012;02;10;;;Kilauea;Hawaiian Is;United States;1222;Shield volcano;Historical;;;;;;;;;MODERATE (~$1 to $5 million);;;;;;;;;;MODERATE (~$1 to $5 million);;;19.425,-155.292;;
2012;03;02;;;Kilauea;Hawaiian Is;United States;1222;Shield volcano;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);1;Few (~1 to 50 houses);;;;;;;;;;;19.425,-155.292;;
1631;02;14;;Earthquake;Dama Ali;Africa-NE;Ethiopia;1068;Shield volcano;Historical;;50;Few (~1 to 50 deaths);;;;;;MODERATE (~$1 to $5 million);;;50;Few (~1 to 50 deaths);;;;;;MODERATE (~$1 to $5 million);;;11.28,41.63;;
1659;11;11;Tsunami;;Teon;Banda Sea;Pacific Ocean;655;Stratovolcano;Historical;4;;;;;;;;;;;;;;;;;;;;;-6.92,129.125;;
1664;;;Tsunami;;Iwo-Tori-shima;Ryukyu Is;Japan;217;Complex volcano;Historical;;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);27.85,128.25;;
1707;05;;Tsunami;;Santorini;Greece;Greece;329;Shield volcano;Historical;;;;;;;;;;;;;;;;;;;;;;36.404,25.396;;
1729;06;30;;;Krafla;Iceland-NE;Iceland;650;Caldera;Historical;2;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;65.73,-16.78;;
1780;02;09;;;Sakura-jima;Kyushu-Japan;Japan;1117;Stratovolcano;Historical;4;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;31.58,130.67;;
1835;11;01;;Earthquake;Banda Api;Banda Sea;Pacific Ocean;640;Caldera;Historical;;;Many (~101 to 1000 deaths);;;;;;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);;Many (~101 to 1000 deaths);;;;;;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);-4.525,129.871;;
1843;02;17;Tsunami;;Soufriere Guadeloupe;W Indies;Guadeloupe;1467;Stratovolcano;Historical;;;;;;;;;;;;;;;;;;;;;;16.05,-61.67;;
1854;02;18;;;Shiveluch;Kamchatka;Russia;3283;Stratovolcano;Historical;5;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;56.653,161.36;;
1856;07;26;Tsunami;;Shishaldin;Aleutian Is;United States;2857;Stratovolcano;Historical;;;;;;;;;;;;;;;;;;;;;;54.75,-163.97;;
1860;08;18;;;Fuego;Guatemala;Guatemala;3763;Stratovolcano;Historical;2;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;14.473,-90.88;;
1868;09;05;Tsunami;Earthquake;Etna;Italy;Italy;3350;Stratovolcano;Historical;;;;;;;;;;;;;;;;;;;;;;37.734,15.004;;
1872;04;17;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;4;170;Many (~101 to 1000 deaths);;;;;;;;Some (~51 to 100 houses);170;Many (~101 to 1000 deaths);;;;;;;;Some (~51 to 100 houses);-7.542,110.442;;
1875;01;29;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;0;;Few (~1 to 50 deaths);;;;;;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);;Few (~1 to 50 deaths);;;;;;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);-7.93,112.308;;
1878;02;11;Tsunami;Earthquake;Yasur;Vanuatu-SW Pacific;Vanuatu;361;Stratovolcano;Historical;;;;;;;;;;;;;;;;;;;;;;-19.52,169.425;;
1909;04;28;;Earthquake;Cameroon, Mt.;Africa-W;Cameroon;4095;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;4.203,9.17;;
1914;01;18;;;Pago;New Britain-SW Pac;Papua New Guinea;742;Caldera;Historical;3;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;-5.58,150.52;;
1917;04;01;;;Okataina;New Zealand;New Zealand;1111;Lava dome;Historical;1;2;Few (~1 to 50 deaths);;;3.0;Few (~1 to 50 deaths);;;;;2;Few (~1 to 50 deaths);;;3.0;Few (~1 to 50 deaths);;;;;-38.12,176.5;;
1930;03;17;Tsunami;;Krakatau;Indonesia;Indonesia;813;Caldera;Historical;2;;;;;;;;;;;;;;;;;;;;;-6.102,105.423;;
