Year;Month;Day;Flag Tsunami;Flag Earthquake;Volcano Name;Location;Country;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Volcano : Deaths Description;Volcano : Missing;Volcano : Missing Description;Volcano : Injuries;Volcano : Injuries Description;Volcano : Damage (in M$);Volcano : Damage Description;Volcano : Houses destroyed;Volcano : Houses destroyed Description;Total Effects : Deaths;Total Effects : Deaths Description;Total Effects : Missing;Total Effects : Missing Description;Total Effects : Injuries;Total Effects : Injuries Description;Total Effects : Damages in million Dollars;Total Effects : Damage Description;Total Effects : Houses Destroyed;Total Effects : Houses Destroyed Description;Coordinates;Earthquakes : Houses damaged Description;Total Effects : Houses Damaged Description
1827;08;09;;;Avachinsky;Kamchatka;Russia;2741;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;53.255,158.83;;
1846;05;27;;;Tangkubanparahu;Java;Indonesia;2084;Stratovolcano;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;-6.77,107.6;;
1856;09;25;;;Komaga-take;Hokkaido-Japan;Japan;1140;Stratovolcano;Historical;4;20;Few (~1 to 50 deaths);;;;;;;;Many (~101 to 1000 houses);20;Few (~1 to 50 deaths);;;;;;;;Many (~101 to 1000 houses);42.07,140.68;;
1883;10;06;Tsunami;;Augustine;Alaska-SW;United States;1252;Lava dome;Historical;4;8;Few (~1 to 50 deaths);;;;;;;;;8;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);59.37,-153.42;;
1914;01;12;Tsunami;Earthquake;Sakura-jima;Kyushu-Japan;Japan;1117;Stratovolcano;Historical;4;28;Few (~1 to 50 deaths);;;;Many (~101 to 1000 deaths);0.04;LIMITED (roughly corresponding to less than $1 million);2148;Very Many (~1001 or more houses);63;Some (~51 to 100 deaths);;;112.0;Many (~101 to 1000 deaths);19;SEVERE (~>$5 to $24 million);2268;Very Many (~1001 or more houses);31.58,130.67;;
1919;05;22;Tsunami;;Stromboli;Italy;Italy;926;Stratovolcano;Historical;3;4;Few (~1 to 50 deaths);;;;Many (~101 to 1000 deaths);;LIMITED (roughly corresponding to less than $1 million);10;Few (~1 to 50 houses);4;Few (~1 to 50 deaths);;;;Many (~101 to 1000 deaths);;LIMITED (roughly corresponding to less than $1 million);10;Few (~1 to 50 houses);38.789,15.213;;
1927;09;05;;;Esjufjoll;Iceland-SE;Iceland;1760;Stratovolcano;Historical;1;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;64.27,-16.65;;
1944;03;27;;;Vesuvius;Italy;Italy;1281;Complex volcano;Historical;2;27;Few (~1 to 50 deaths);;;;;;;;;27;Few (~1 to 50 deaths);;;;;;;;;40.821,14.426;;
1949;06;;;;Camiguin;Mindanao-Philippines;Philippines;1332;Stratovolcano;Historical;3;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;9.203,124.673;;
1953;03;25;Tsunami;;Myojun Knoll;Izu Is-Japan;Japan;360;Submarine volcano;Holocene;2;;;;;;;;;;;;;;;;;;;;;32.1,139.85;;
1968;07;29;;;Arenal;Costa Rica;Costa Rica;1657;Stratovolcano;Historical;3;80;Some (~51 to 100 deaths);;;;;;;;;80;Some (~51 to 100 deaths);;;;;;;;;10.463,-84.703;;
1972;10;02;;;Hakone;Honshu-Japan;Japan;1438;Complex volcano;Radiocarbon;;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;35.22,139.02;;
1981;04;27;;;Alaid;Kuril Is;Russia;2339;Stratovolcano;Historical;2;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;50.858,155.55;;
