Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1717 dC,3.0,Volcán En Escudo,False,False,Kirishima (Japan)
1741 dC,4.0,Estratovolcán,True,False,Oshima-Oshima (Japan)
1753 dC,2.0,Caldera,False,False,Grimsvotn (Iceland)
1780 dC,4.0,Estratovolcán,True,False,Sakura-jima (Japan)
1817 dC,4.0,Estratovolcán,False,False,Raung (Indonesia)
1833 dC,2.0,Estratovolcán,False,False,Kaba (Indonesia)
1841 dC,2.0,Estratovolcán,False,False,Kuchinoerabu-jima (Japan)
1843 dC,0.0,Estratovolcán,True,False,Liamuiga (St. Kitts & Nevis)
1871 dC,2.0,Estratovolcán,True,False,Ruang (Indonesia)
1899 dC,2.0,Estratovolcán,False,False,Manam (Papua New Guinea)
1900 dC,2.0,Volcán En Escudo,False,False,Kirishima (Japan)
1928 dC,3.0,Estratovolcán,False,False,Mayon (Philippines)
1937 dC,4.0,Escudo Piroclástico,True,True,Rabaul (Papua New Guinea)
1946 dC,2.0,Estratovolcán,False,False,Sakura-jima (Japan)
1953 dC,0.0,Volcán Complejo,True,False,St. Andrew Strait (Papua New Guinea)
1976 dC,3.0,Estratovolcán,False,False,Sangay (Ecuador)
1977 dC,3.0,Estratovolcán,False,False,Kliuchevskoi (Russia)
1981 dC,0.0,Estratovolcán,False,False,Mayon (Philippines)
1992 dC,1.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1994 dC,3.0,Escudo Piroclástico,True,False,Rabaul (Papua New Guinea)
1997 dC,2.0,Estratovolcán,False,False,Merapi (Indonesia)
2005 dC,4.0,Estratovolcán,False,False,Manam (Papua New Guinea)
2006 dC,0.0,Estratovolcán,False,False,Raoul Island (New Zealand)
2014 dC,0.0,Estratovolcán,False,False,Fogo (Cape Verde)
2015 dC,2.0,Estratovolcán,False,False,Manam (Papua New Guinea)
1334 dC,3.0,Estratovolcán,False,False,Kelut (Indonesia)
1564 dC,3.0,Estratovolcán,False,False,Gamkonora (Indonesia)
1711 dC,3.0,Estratovolcán,False,False,Awu (Indonesia)
1873 dC,0.0,Volcán Complejo,False,False,Vesuvius (Italy)
1877 dC,4.0,Estratovolcán,False,False,Cotopaxi (Ecuador)
