Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
Crime,fr,1969-12-01,7.7,plans; available; fling,The Sicilian Clan
"Crime, Action, Drama",cn,2017-08-25,6.5,search; sudden; negotiator,Paradox
Animation,es,2018-01-19,8.0,your; forced; return,La leyenda del Charro Negro
"Drama, Romance",en,2012-09-06,6.7,aristocrat; affair; count,Anna Karenina
"Crime, Drama, Mystery",en,2005-02-19,4.9,complications; million; women,Wild Things: Diamonds in the Rough
"Drama, Thriller",es,2020-01-23,7.7,break; pinochet's; prison,Pacto de Fuga
"Adventure, Animation, Family, Comedy, Fantasy",en,1990-08-03,6.8,leads; rich; money,DuckTales: The Movie - Treasure of the Lost Lamp
"Comedy, Drama",en,2004-01-20,5.8,still; urban; adventures,Barbershop 2: Back in Business
"Family, Animation, Action, Adventure, Fantasy, Science Fiction",ja,2006-07-15,6.4,meet; deliever; floor,Pokémon Ranger and the Temple of the Sea
"Drama, Romance",en,1996-03-29,6.7,villa; lucy; american,Stealing Beauty
Drama,el,2009-10-22,7.1,another; whom; submission,Dogtooth
"Adventure, Action, Fantasy, Science Fiction, Thriller, Romance, Animation",en,2001-07-02,6.2,eight; strange; hope,Final Fantasy: The Spirits Within
"Thriller, Science Fiction, Action",en,2018-06-07,6.0,owns; angeles; nurse,Hotel Artemis
"Thriller, Action",en,2016-06-10,5.5,involved; drug; gets,Collide
"Adventure, Action, Comedy, Fantasy",ko,2009-12-23,6.6,concerns; wizards; anything,Woochi : The Demon Slayer
"Action, Drama",en,2003-01-31,6.1,workers; mostly; suits,Biker Boyz
Horror,en,1985-10-10,6.5,work; tarker's; appearance,Silver Bullet
"Crime, Thriller",en,2018-11-06,6.5,thieves; chicago; police,Widows
"Horror, Science Fiction",es,1969-01-01,4.9,experiments; kidnaps; doctor,The Curious Dr. Humpp
Comedy,en,2006-09-09,5.4,he'll; again; kind,Wedding Daze
"Action, Comedy, Crime, Thriller",en,2006-12-09,6.5,he's; vegas; performerturnedsnitch,Smokin' Aces
Action,en,1996-02-09,6.0,deakins's; radar; deserted,Broken Arrow
"Thriller, Drama, Mystery",en,2007-04-12,6.7,things; happening; arrest,Disturbia
"Horror, Drama, Fantasy",en,1931-02-12,7.2,together; unbeknownst; pair,Dracula
"Drama, Crime, History",en,2015-09-04,6.4,true; became; boston,Black Mass
"Horror, Thriller",en,2012-08-30,6.0,spirit; girl's; end,The Possession
"Science Fiction, Action, Thriller",en,2006-03-03,5.2,infected; emerged; subculture,Ultraviolet
Thriller,es,1977-06-25,4.6,wants; stepsister; lost,The Call of Sex
"Family, Animation, Comedy",en,2006-08-21,6.8,outwit; buccaneers; infamous,Tom and Jerry: Shiver Me Whiskers
"Drama, Romance",en,2017-08-06,7.0,or; wollstonecraft; shelley,Mary Shelley
Comedy,en,2006-12-01,5.0,academic; education; teach,Van Wilder 2: The Rise of Taj
"Thriller, Drama, Mystery",en,2005-09-22,6.4,plane; kyle; vanishes,Flightplan
Western,en,1966-10-19,6.1,seeks; member; seven,Return of the Seven
"Crime, Horror",en,2010-07-16,5.2,road; six; participate,Bereavement
Comedy,es,2015-02-27,7.6,working; luck; know,A la mala
Drama,it,1975-03-11,6.6,death; job; anita,That Malicious Age
"Adventure, Comedy, Fantasy",en,1975-05-25,7.8,sir; decides; arthur,Monty Python and the Holy Grail
Action,en,2018-05-12,6.0,deadly; battle; forced,All the Devil's Men
"Animation, Fantasy, Adventure, Mystery",ja,2019-06-07,7.2,aquarium; investigating; sea,Children of the Sea
"Action, Drama, Science Fiction, TV Movie",en,1991-08-23,5.0,because; never; banner,The Death of the Incredible Hulk
Horror,en,2006-06-06,5.5,remake; knowing; diplomatic,The Omen
"Romance, Animation, Drama",ja,1993-05-05,6.3,photo; aeroplane; morisaki,Ocean Waves
"Comedy, Crime",en,1999-01-30,6.2,jawbreaker; anything; reagan,Jawbreaker
